,line,token,lemma,error_type
2116,143430,πιστὸν,πιστός2,2
2117,143482,πιστὸς,πιστός2,2
2118,143592,ὅτι,ὅτι2,2
2119,143613,ἃ,ὅς2,2
2120,143653,ὧν,ὅς2,2
2121,143694,ὅτι,ὅτι2,2
2122,143808,χρῆσθαι,χράω2,2
2123,143809,ἣν,ὅς2,2
2124,143827,ὅτι,ὅτι2,2
2125,143854,ὅτι,ὅτι2,2
2126,143890,ὅτι,ὅτι2,2
2127,143896,ὅτι,ὅτι2,2
2128,143909,ἃ,ὅς2,2
2129,143940,ἀπιόντες,ἄπειμι2,2
2130,143948,ὅτι,ὅτι2,2
2131,143972,οὓς,ὅς2,2
2132,143979,οὓς,ὅς2,2
2133,144040,ὅτι,ὅτι2,2
2134,144056,ὅτι,ὅτι2,2
2135,144155,χρώμενος,χράω2,2
2136,144179,ᾧ,ὅς2,2
2137,144216,ὧν,ὅς2,2
2138,144226,ὧν,ὅς2,2
2139,144264,οἷς,ὅς2,2
2140,144270,ὧν,ὅς2,2
2141,144328,ὧν,ὅς2,2
2142,144338,ὧν,ὅς2,2
2143,144372,ὧν,ὅς2,2
2144,144397,ἧς,ὅς2,2
2145,144406,ὧν,ὅς2,2
2146,144478,ὧν,ὅς2,2
2147,144484,ὅτι,ὅτι2,2
2148,144663,οὓς,ὅς2,2
2149,144715,ὧν,ὅς2,2
2150,144722,ὧν,ὅς2,2
2151,144744,ὅτι,ὅτι2,2
2152,144799,ὅτι,ὅτι2,2
2153,144880,ὅτι,ὅτι2,2
2154,144899,ᾧ,ὅς2,2
2155,144957,πιστοὺς,πιστός2,2
2156,144970,ὧν,ὅς2,2
2157,144995,ὅτι,ὅτι2,2
2158,145004,ὅτι,ὅτι2,2
2159,145025,οὓς,ὅς2,2
2160,145063,ὅτι,ὅτι2,2
2161,145084,ὅτι,ὅτι2,2
2162,145091,ἣν,ὅς2,2
2163,145106,ὧν,ὅς2,2
2164,145119,ἃ,ὅς2,2
2165,145347,ἃ,ὅς2,2
2166,145362,ἣν,ὅς2,2
2167,145371,ἃ,ὅς2,2
2168,145379,οἷς,ὅς2,2
2169,145562,ὧν,ὅς2,2
2170,145565,κύριοι,κύριος2,2
2171,145611,ὅτι,ὅτι2,2
2172,145721,ἃ,ὅς2,2
2173,145790,δεῖσθαι,δέω2,2
2174,145820,ὅτι,ὅτι2,2
2175,145823,οἷς,ὅς2,2
2176,146211,δεῖ,δέω2,2
2177,146352,χρῆσθαι,χράω2,2
2178,146502,οἷς,ὅς2,2
2179,146565,ἃ,ὅς2,2
2180,146596,ἄνω,ἄνω2,2
2181,146750,ἀκρασίαν,ἀκρασία2,2
2182,146795,ὅτι,ὅτι2,2
2183,146802,οὓς,ὅς2,2
2184,146828,ὧν,ὅς2,2
2185,147013,χρῆται,χράω2,2
2186,147053,ἃ,ὅς2,2
2187,147132,ὥραν,ὥρα2,2
2188,147157,ὧν,ὅς2,2
2189,147282,ὅτι,ὅτι2,2
2190,147321,ὧν,ὅς2,2
2191,147492,ὅτι,ὅτι2,2
2192,147498,ὧν,ὅς2,2
2193,147547,ἃ,ὅς2,2
2194,147761,παριοῦσι,πάρειμι2,2
2195,147768,ὧν,ὅς2,2
2196,147835,ὃν,ὅς2,2
2197,147841,ὧν,ὅς2,2
2198,147886,ὅτι,ὅτι2,2
2199,148329,χρωμένων,χράω2,2
2200,148332,προσιόντες,πρόσειμι2,2
2201,148369,ὅτι,ὅτι2,2
2202,148505,ὅτι,ὅτι2,2
2203,148537,ἀπορῶν,ἀπορέω2,2
2204,148598,ὃν,ὅς2,2
