,line,token,lemma,error_type
330,33984,ὥραις,ὥρα2,2
331,34009,δεῖσθαι,δέω2,2
332,34139,οὓς,ὅς2,2
333,34174,ὃν,ὅς2,2
334,34189,οὓς,ὅς2,2
335,34284,ἣν,ὅς2,2
336,34428,ὧν,ὅς2,2
337,34472,ὄγκον,ὄγκος2,2
338,34737,ὧν,ὅς2,2
339,34741,ὅτι,ὅτι2,2
340,34769,ὅτι,ὅτι2,2
341,34818,ὅτι,ὅτι2,2
342,34874,οὓς,ὅς2,2
343,34898,ὅτι,ὅτι2,2
344,34904,κυρίους,κύριος2,2
345,35097,θύοντας,θύω2,2
346,35110,δέοιτο,δέω2,2
347,35279,ἃ,ὅς2,2
348,35333,ὀξέως,ὀξύς2,2
349,35375,ὧν,ὅς2,2
350,35433,ᾗ,ὅς2,2
351,35438,ἃ,ὅς2,2
352,35446,ἃ,ὅς2,2
353,35524,ὧν,ὅς2,2
354,35912,πρεσβύτην,πρεσβύτης2,2
355,35976,ἐπίσκοπον,ἐπίσκοπος2,2
356,36034,ὧν,ὅς2,2
357,36150,χρώμενοι,χράω2,2
358,36429,ὃν,ὅς2,2
359,36620,ἣν,ὅς2,2
360,36717,ἧς,ὅς2,2
361,36737,ὃν,ὅς2,2
362,36890,ἧς,ὅς2,2
363,36927,παρόδου,πάροδος2,2
364,37003,ὧν,ὅς2,2
365,37075,θύειν,θύω2,2
366,37082,ὧν,ὅς2,2
367,37109,θύειν,θύω2,2
368,37447,οὓς,ὅς2,2
369,37495,ἧς,ὅς2,2
370,37665,ἣν,ὅς2,2
371,37700,θύω,θύω2,2
372,37721,ᾧ,ὅς2,2
373,37722,χρώμενοι,χράω2,2
374,37736,θύουσιν,θύω2,2
375,37885,ᾧ,ὅς2,2
376,37935,ἃ,ὅς2,2
377,38034,ὅτι,ὅτι2,2
378,38119,συνόδους,σύνοδος2,2
379,38229,ἐχρῶντο,χράω2,2
380,38345,δεήσεσθαι,δέω2,2
381,38380,ᾧ,ὅς2,2
382,38383,χρῶνται,χράω2,2
383,38408,χρῆσθαι,χράω2,2
384,38473,ὅτι,ὅτι2,2
385,38497,ὅτι,ὅτι2,2
386,38573,ᾧ,ὅς2,2
387,38574,θύουσί,θύω2,2
388,38609,ὥρας,ὥρα2,2
389,38892,ὃν,ὅς2,2
390,39086,ἐνδεῖν,ἐνδέω2,2
391,39193,ἣν,ὅς2,2
392,39305,ᾧ,ὅς2,2
393,39388,ὧν,ὅς2,2
394,39424,οἷς,ὅς2,2
395,39473,ἣν,ὅς2,2
396,40243,ὅτι,ὅτι2,2
397,40420,ὅτι,ὅτι2,2
398,40530,ἣν,ὅς2,2
399,40575,χρώμενος,χράω2,2
400,40609,ἧς,ὅς2,2
401,40616,ἃ,ὅς2,2
402,40653,ὅτι,ὅτι2,2
403,40709,ἣν,ὅς2,2
404,40939,οὓς,ὅς2,2
405,41177,ὅτι,ὅτι2,2
406,41268,δεῖσθαι,δέω2,2
407,41662,ὅτι,ὅτι2,2
408,41668,χρῆσαι,χράω2,2
409,41694,ὅτι,ὅτι2,2
410,41837,ὅτι,ὅτι2,2
411,41991,ἃ,ὅς2,2
412,42342,ᾧ,ὅς2,2
413,42368,παρόδων,πάροδος2,2
414,42502,δεομένων,δέω2,2
415,42595,δεόμενοι,δέω2,2
416,42610,ἀπορῶν,ἀπορέω2,2
417,42885,ὧν,ὅς2,2
418,43274,ἧς,ὅς2,2
419,43496,ὃν,ὅς2,2
420,43506,ὅτι,ὅτι2,2
421,43675,ἐπῄει,ἔπειμι2,2
422,43693,ἧς,ὅς2,2
423,43719,ἄνω,ἄνω2,2
424,43767,ὧν,ὅς2,2
425,43963,ὧν,ὅς2,2
426,43998,ὧν,ὅς2,2
427,44035,ὥραν,ὥρα2,2
428,44084,ὀξέως,ὀξύς2,2
429,44098,ὅτι,ὅτι2,2
430,44252,οὓς,ὅς2,2
431,44276,ἧς,ὅς2,2
432,44319,ἧς,ὅς2,2
433,44405,ὅτι,ὅτι2,2
434,44506,ὥρα,ὥρα2,2
435,44543,ὅτι,ὅτι2,2
436,44808,ἣν,ὅς2,2
437,44877,κεχρημένον,χράω2,2
438,45104,ὅτι,ὅτι2,2
439,45125,δεόμενον,δέω2,2
440,45187,ὅτι,ὅτι2,2
441,45496,ἣν,ὅς2,2
442,45696,ὧν,ὅς2,2
443,45825,ὥραν,ὥρα2,2
444,45968,ἣν,ὅς2,2
445,46062,οὓς,ὅς2,2
446,46321,οἷς,ὅς2,2
447,46402,δεηθεὶς,δέω2,2
448,46529,ἣν,ὅς2,2
449,46558,ὃν,ὅς2,2
450,46709,δεόμενος,δέω2,2
451,46713,ἀπειλῶν,ἀπειλέω2,2
452,46717,ὅτι,ὅτι2,2
453,46859,ἄνω,ἄνω2,2
454,47049,ὅτι,ὅτι2,2
455,47146,ἃ,ὅς2,2
456,47235,χρήσῃ,χράω2,2
457,47303,οὓς,ὅς2,2
458,47365,ἣν,ὅς2,2
459,47422,ᾧ,ὅς2,2
460,47481,ὧν,ὅς2,2
461,47522,ἣν,ὅς2,2
462,47605,θῦσαί,θύω2,2
463,47643,ὧν,ὅς2,2
464,47673,προσιών,πρόσειμι2,2
465,47748,ἃ,ὅς2,2
466,47942,ὃν,ὅς2,2
467,47973,δεηθεὶς,δέω2,2
468,47986,ὧν,ὅς2,2
469,47996,δεηθεῖεν,δέω2,2
470,48100,ἄνω,ἄνω2,2
471,48303,ἣν,ὅς2,2
472,48454,ἄνω,ἄνω2,2
473,48578,ἔθυσε,θύω2,2
474,48647,χρώμενον,χράω2,2
475,48710,ὧν,ὅς2,2
476,48840,ὅτι,ὅτι2,2
477,48858,ὅτι,ὅτι2,2
478,48895,τάφος,τάφος2,2
479,48964,Ἀμμωνίῳ,Ἀμμώνιος2,2
480,49009,οὓς,ὅς2,2
481,49028,ὧν,ὅς2,2
482,49041,ᾧ,ὅς2,2
483,49124,οἷς,ὅς2,2
484,49274,οὗ,ὅς2,2
485,49386,ὅτι,ὅτι2,2
486,49444,ἧς,ὅς2,2
487,49622,οἷς,ὅς2,2
488,49825,οἷς,ὅς2,2
489,49886,χρησόμενος,χράω2,2
490,49890,ὧν,ὅς2,2
491,49958,ὧν,ὅς2,2
492,50064,ἀκρασίαν,ἀκρασία2,2
493,50172,ὅτι,ὅτι2,2
494,50255,χρῆσθαι,χράω2,2
495,50321,θύσας,θύω2,2
496,50331,ᾧ,ὅς2,2
497,50519,ἥν,ὅς2,2
498,50564,ἕρμα,ἕρμα2,2
499,50615,ὅτι,ὅτι2,2
500,50656,ὅτι,ὅτι2,2
501,50708,ἣν,ὅς2,2
502,50736,ὥρας,ὥρα2,2
503,50738,ὥρας,ὥρα2,2
504,50776,ὧν,ὅς2,2
505,51012,οἷσι,ὅς2,2
506,51018,πρεσβύτας,πρεσβύτης2,2
507,51085,ὃν,ὅς2,2
508,51128,ἃ,ὅς2,2
509,51216,ὅτι,ὅτι2,2
510,51322,μετιόντας,μέτειμι2,2
511,51532,χρῆσθαι,χράω2,2
512,51544,ὄγκου,ὄγκος2,2
513,51558,δεῖσθαι,δέω2,2
514,51869,συνιόντας,σύνειμι2,2
515,51932,δεομένην,δέω2,2
516,52103,ὀξὺς,ὀξύς2,2
517,52302,ἣν,ὅς2,2
518,52320,ὧν,ὅς2,2
519,52467,θύσας,θύω2,2
520,52483,θύσας,θύω2,2
521,52539,θύσαντος,θύω2,2
522,52540,ἣν,ὅς2,2
523,52725,δεῖσθαι,δέω2,2
524,52766,δεῖ,δέω2,2
525,52778,ἀπίασι,ἄπειμι2,2
526,52865,ἣν,ὅς2,2
527,52943,χρῆσθαι,χράω2,2
528,53198,ἣν,ὅς2,2
529,53332,κόρων,κόρος4,2
530,53394,ἀπῄει,ἄπειμι2,2
531,53444,ἀκρασίας,ἀκρασία2,2
532,53479,ἐπῄει,ἔπειμι2,2
533,53604,ὅτι,ὅτι2,2
534,53613,ἣν,ὅς2,2
535,53634,ἐπιόντι,ἔπειμι2,2
536,53735,ἀπῄει,ἄπειμι2,2
537,53820,σύνοδος,σύνοδος2,2
538,53912,μετιόντων,μέτειμι2,2
539,54051,κυρίους,κύριος2,2
540,54243,ᾧ,ὅς2,2
541,54810,χρῆται,χράω2,2
542,54954,ἄνω,ἄνω2,2
543,55086,ὧν,ὅς2,2
544,55116,δεόμενον,δέω2,2
545,55164,ἀπορεῖν,ἀπορέω2,2
546,55228,δεῖ,δέω2,2
547,55286,ἐρᾶν,ἐράω2,2
548,55295,ἐρᾶν,ἐράω2,2
549,55327,ἐρώμενον,ἐράω2,2
550,55335,χρῆσθαι,χράω2,2
551,55418,ἀκρασία,ἀκρασία2,2
552,55444,ὅτι,ὅτι2,2
553,55576,οἷς,ὅς2,2
554,55596,ἔφοδον,ἔφοδος3,2
555,55607,ἐρᾶτε,ἐράω2,2
556,55675,χρέῃ,χράω2,2
557,55698,χρώμενοι,χράω2,2
558,55702,δέονται,δέω2,2
559,55712,ὅτι,ὅτι2,2
560,55730,ἃ,ὅς2,2
561,55793,χρώμενοι,χράω2,2
562,55889,χρῆσθαι,χράω2,2
563,56027,ὅτι,ὅτι2,2
564,56120,ὧν,ὅς2,2
565,56166,λῇς,λάω2,2
566,56192,ὧν,ὅς2,2
567,56205,οἷς,ὅς2,2
568,56206,ἐχρῶντο,χράω2,2
569,56392,ὅτι,ὅτι2,2
570,56404,ἐχρῶντο,χράω2,2
571,56653,ὅτι,ὅτι2,2
572,56784,ὅτι,ὅτι2,2
573,56897,ἃ,ὅς2,2
574,56908,οἷς,ὅς2,2
575,56977,ἐδεῖτο,δέω2,2
576,57110,συνιόντες,σύνειμι2,2
577,57260,ἀπῄει,ἄπειμι2,2
578,57266,ὅτι,ὅτι2,2
579,57460,κύριον,κύριος2,2
580,57547,ὅτι,ὅτι2,2
581,57572,περιῄει,περίειμι2,2
582,57607,ὅτι,ὅτι2,2
583,57620,ἀπῄει,ἄπειμι2,2
584,57651,ἣν,ὅς2,2
585,57662,ὅτι,ὅτι2,2
586,57788,θύσαντας,θύω2,2
587,57798,ἀργὸν,ἀργός2,2
588,57820,οἷς,ὅς2,2
589,57914,ὧν,ὅς2,2
590,57959,ἣν,ὅς2,2
591,58277,ᾧ,ὅς2,2
592,58320,ᾧ,ὅς2,2
593,58513,θύσας,θύω2,2
594,58546,χρωμένην,χράω2,2
595,58561,θύσας,θύω2,2
596,58623,ἀργὸν,ἀργός2,2
597,58655,ὧν,ὅς2,2
598,58669,χρῆσθαι,χράω2,2
599,58701,οὓς,ὅς2,2
600,58788,ὧν,ὅς2,2
601,58872,ᾧ,ὅς2,2
602,59024,ἐχρῶντο,χράω2,2
603,59303,θύουσι,θύω2,2
604,59428,σύνοδον,σύνοδος2,2
605,59468,δεηθέντος,δέω2,2
606,59509,οὗ,ὅς2,2
607,59612,οἷς,ὅς2,2
608,59652,ὅτι,ὅτι2,2
609,59786,δεομένων,δέω2,2
610,59918,ὧν,ὅς2,2
611,59998,θύειν,θύω2,2
612,60013,ἣν,ὅς2,2
