,Unnamed: 0,n,token,lemma,pos
126,126,40,τὴν,ὁ,l-s---fa-
127,127,41,ἀρχήν,ἀρχή,n-s---fa-
128,128,42,.,.,u--------
129,129,1,ὁ,ὁ,l-s---mn-
130,130,2,δʼ,δέ,g--------
131,131,3,ὡς,ὡς,d--------
132,132,4,ἀπῆλθε,ἀπέρχομαι,v3saia---
133,133,5,κινδυνεύσας,κινδυνεύω,v-sapamn-
134,134,6,καὶ,καί,d--------
135,135,7,ἀτιμασθείς,ἀτιμάζω,v-sappmn-
136,136,8,",",",",u--------
137,137,9,βουλεύεται,βουλεύω,v3spie---
138,138,10,ὅπως,ὅπως,c--------
139,139,11,μήποτε,μήποτε,d--------
140,140,12,ἔτι,ἔτι,d--------
141,141,13,ἔσται,εἰμί,v3sfim---
142,142,14,ἐπὶ,ἐπί,r--------
143,143,15,τῷ,ὁ,l-s---md-
144,144,16,ἀδελφῷ,ἀδελφός,n-s---md-
145,145,17,",",",",u--------
146,146,18,ἀλλά,ἀλλά,c--------
147,147,19,",",",",u--------
148,148,20,ἢν,ἐάν,c--------
149,149,21,δύνηται,δύω,v3spse---
150,150,22,",",",",u--------
151,151,23,βασιλεύσει,βασιλεύω,v3sfia---
152,152,24,ἀντʼ,ἀντί,r--------
153,153,25,ἐκείνου,ἐκεῖνος,p-s---mg-
154,154,26,.,.,u--------
155,155,27,Παρύσατις,Παρύσατις,n-s---mn-
156,156,28,μὲν,μέν,g--------
157,157,29,δὴ,δή,g--------
158,158,30,ἡ,ὁ,l-s---fn-
159,159,31,μήτηρ,μήτηρ,n-s---fn-
160,160,32,ὑπῆρχε,ὑπάρχω,v3siia---
161,161,33,τῷ,ὁ,l-s---md-
162,162,34,Κύρῳ,Κῦρος,n-s---md-
163,163,35,",",",",u--------
164,164,36,φιλοῦσα,φιλέω,v-sapafn-
165,165,37,αὐτὸν,αὐτός,p-s---ma-
166,166,38,μᾶλλον,μᾶλλον,d--------
167,167,39,ἢ,τίη,d--------
168,168,40,τὸν,ὁ,l-s---ma-
169,169,41,βασιλεύοντα,βασιλεύω,v-sppama-
170,170,42,Ἀρταξέρξην,Ἀρταξέρξης,n-s---ma-
171,171,43,.,.,u--------
172,172,1,ὅστις,ὅστις,p-s---mn-
173,173,2,δʼ,δέ,g--------
174,174,3,ἀφικνεῖτο,ἀφικνέομαι,v3siie---
175,175,4,τῶν,ὁ,l-p---mg-
176,176,5,παρὰ,παρά,r--------
