,line,token,lemma
157,2274,ἕω,ἠώς
158,2276,ἱεροῦ,ἱερόν
159,2278,ἐπʼ,ἐπί
160,2284,Παλλαντίδαι,Παλλαντίδαι
161,2292,Αἰγέως,Αἰγεύς
162,2293,ἀτέκνου,ἄτεκνος
163,2312,μηδὲν,μηδείς
164,2321,ἔπηλυς,ἔπηλυς
165,2347,Γαργηττοῖ,Γαργηττός
166,2354,ἐπιθησόμενοι,ἐπιτίθημι
167,2361,μετʼ,μετά
168,2377,Παλλαντίδαις,Παλλαντίδαι
169,2384,ἐνεδρεύουσι,ἐνεδρεύω
170,2394,διεσπάρησαν,διασπείρω
171,2404,Ἁγνουσίων,Ἁγνούσιος
172,2431,βουλόμενος,βούλομαι
173,2490,Ἑκαλήσια,Ἑκαλήσιος
174,2495,Ἑκάλῳ,ἕκηλος
175,2501,ἐτίμων,τιμάω
176,2503,Ἑκαλίνην,Ἑκαλίνη
177,2504,ὑποκοριζόμενοι,ὑποκορίζομαι
178,2549,εἰρημένας,λέγω
179,2550,ἀμοιβὰς,ἀμοιβάς
180,2572,ἀπάξοντες,ἀπάγω
181,2587,Μίνως,Μίνως
182,2601,ἀφορία,ἀφορία
183,2611,ποταμοἴ,
184,2617,ἱλασαμένοις,ἱλάσκομαι
185,2621,διαλλαγεῖσι,διαλλάσσω
186,2638,διʼ,διά
187,2642,ἠϊθέους,ἠίθεος
188,2643,ἑπτὰ,ἑπτά
189,2679,δυναμένους,δύναμαι
190,2705,φιλόχορος,φιλόχορος
191,2716,φρουρὰ,φρουρά
192,2725,ἀλλʼ,ἀλλά
193,2737,ἐπʼ,ἐπί
194,2738,Ἀνδρόγεῳ,Ἀνδρόγεως
195,2751,Λαβυρίνθῳ,λαβύρινθος
196,2763,δυνάμενος,δύναμαι
197,2782,παισὶ,παῖς
198,2796,Βοττιαίων,Βοττιαῖος
199,2818,Κρῆτας,Κρής
200,2821,ἀποδιδόντας,ἀποδίδωμι
201,2832,ἐκγόνους,ἔκγονος
202,2864,Βοττιαίους,Βοττιαῖος
203,2870,Βοττιαίων,Βοττιαῖος
204,2872,τινὰ,τις
205,2889,μοῦσαν,Μοῦσα
206,2890,ἀπεχθάνεσθαι,ἀπεχθάνομαι
207,2909,Ἡσίοδος,Ἡσίοδος
208,2916,Διὸσ,
209,2932,κατεσκέδασαν,κατασκεδάννυμι
210,2934,χαλεποῦ,χαλεπός
211,2939,καίτοι,καίτοι
212,2956,ὡρισμένων,ὁρίζω
213,2993,ὀδυρομένους,ὀδύρομαι
214,3009,ἀλλʼ,ἀλλά
215,3011,νόθῳ,νόθος
216,3014,παιδὶ,παῖς
217,3019,περιορᾷ,περιοράω
218,3020,γνησίων,γνήσιος
219,3026,ταῦτʼ,οὗτος
220,3027,ἠνία,ἀνιάω
221,3052,ἄλλοις,ἄλλος
222,3091,λαχούσας,λαγχάνω
223,3100,παραγινόμενον,παραγίγνομαι
224,3121,ἐμβάντας,ἐμβαίνω
225,3127,ἠϊθέους,ἠίθεος
226,3128,μηδὲν,μηδείς
227,3133,ἀπολομένου,ἀπόλλυμι
228,3145,οὐδεμία,οὐδείς
229,3200,μέλανι,μέλας
230,3215,δοθὲν,δίδωμι
231,3218,Αἰγέως,Αἰγεύς
232,3221,φοινίκεον,φοινίκεος
233,3223,ὑγρῷ,ὑγρός
234,3227,ἐριθάλλου,ἐρίθαλλος
235,3237,ἐκυβέρνα,κυβερνάω
236,3241,Ἀμαρσυάδας,Ἀμαρσυάδας
237,3262,πρωρέα,πρῳρεύς
238,3278,ἠϊθέων,ἠίθεος
239,3279,ἕνα,ἕνος
240,3282,θυγατριδοῦν,θυγατριδοῦς
241,3291,εἱσαμένου,ἵζω
242,3293,Φαληροῖ,Φάληρον
243,3333,ἱκετηρίαν,ἱκετηρία
244,3337,κλάδος,κλάδος
245,3343,ἐρίῳ,ἔριον
246,3364,ἱλασομένας,ἱλάσκομαι
247,3376,θεὸν,θεός
248,3377,Ἀφροδίτην,Ἀφροδίτη
249,3390,θήλειαν,θάλλω
250,3400,θεὸν,θεός
251,3611,δεχομένην,δέχομαι
252,3634,Μίνως,Μίνως
253,3671,ἀποκτενεῖν,ἀποκτείνω
254,3684,Θησέυς,
255,3686,παραιτούμενος,παραιτέομαι
256,3690,κἀκείνῳ,ἐκεῖνος
257,3709,Θυμαιταδῶν,Θυμαιτάδαι
258,3723,βουλόμενος,βούλομαι
259,3740,οὐδενὸς,οὐδείς
260,3747,οἰομένων,οἴομαι
261,3785,σπεισάμενος,σπένδω
262,3826,ἀπάγξασθαί,ἀπάγχω
263,3841,Οἰνάρῳ,Οἴναρος
264,3843,ἱερεῖ,ἱερεύς
265,3860,Πανοπηΐδος,Πανοπηΐς
266,3861,Αἴγλης,Αἴγλη
267,3911,Ἴων,Ἴος
268,3946,ἐκδέδωκε,ἐκδίδωμι
269,3963,ἔγκυον,ἔγκυος
270,3968,διακειμένην,διάκειμαι
271,4095,Ἀριάδνης,Ἀριάδνη
272,4099,Ναξίων,Νάξιος
273,4109,Ἀριάδνας,Ἀριάδνη
274,4118,Νάξῳ,Νάξος
275,4139,τροφὸν,τροφός
276,4143,Κορκύνην,Κορκύνη
277,4166,ἡδομένους,ἥδομαι
278,4174,δρωμένας,δράω
279,4178,τινὶ,τις
280,4200,ὃ,ὁ
281,4209,ἠϊθέων,ἠίθεος
282,4228,τινι,τις
283,4234,γιγνομένην,γίγνομαι
284,4244,Δηλίων,Δήλιος
285,4285,Ἀττικῇ,Ἀττικός
286,4334,Φαληροῖ,Φάληρον
287,4347,ὀδυρομένοις,ὀδύρομαι
288,4376,δεχόμενος,δέχομαι
289,4379,ἀνέστεφεν,ἀναστέφω
290,4386,πεποιημένου,ποιέω
291,4394,βουλόμενος,βούλομαι
292,4444,Ἐλελεῦ,ἐλελεῦ
293,4446,Ἰού,ἰού
294,4448,Ἰού,ἰού
295,4513,μίαν,εἷς
296,4526,κλάδον,κλάδος
297,4528,ἐρίῳ,ἔριον
298,4535,ἱκετηρίαν,ἱκετηρία
299,4550,σῦκα,σῦκον
300,4571,καίτοι,καίτοι
301,4572,ταῦτά,οὗτος
302,4599,ἠϊθέων,ἠίθεος
303,4616,Ἀθηναῖοι,Ἀθηναῖος
304,4620,παλαιὰ,παλαιός
305,4636,φιλοσόφοις,φιλόσοφος
306,4651,αὐτό,αὐτός
307,4659,διαμένοι,διαμένω
308,4667,ὠσχοφορίων,Ὠσχοφόρια
309,4678,λαχούσας,λαγχάνω
310,4684,συνήθων,συνήθης
311,4691,νεαρούς,νεαρός
312,4693,ἀνδρώδεις,ἀνδρώδης
313,4713,ἀλοιφαῖς,ἀλοιφή
314,4725,σχῆμὰ,σχῆμα
315,4727,βάδισιν,βάδισις
316,4729,ἔνι,ἐν
317,4731,παρθένοις,παρθένος
318,4734,μηδὲν,μηδείς
319,4780,συγκομιζομένης,συγκομίζω
320,4792,ἀπομιμούμεναι,ἀπομιμέομαι
321,4797,λαχόντων,λαγχάνω
322,4812,κἀκείνας,ἐκεῖνος
323,4839,παρασχόντων,παρέχω
324,4848,ἀποφοράς,ἀποφορά
325,4854,Φυταλίδαι,Φυταλίδης
326,4866,Αἰγέως,Αἰγεύς
327,4881,ἓν,εἷς
328,4885,μιᾶς,εἷς
329,4887,ἕνα,ἕνος
330,4906,διαφερομένους,διαφέρω
331,4924,ἐνδεχομένων,ἐνδέχομαι
332,4944,φύλακι,φύλαξ
333,4945,χρησομένην,χράομαι
334,4949,ἄλλων,ἄλλος
335,4950,παρέξουσαν,παρέχω
336,4957,ἔπειθεν,πείθω
337,4983,παρʼ,παρά
338,4985,πρυτανεῖα,πρυτανεῖον
339,4991,ἓν,εἷς
340,5012,Παναθήναια,Παναθήναια
341,5020,Μετοίκια,συνοίκια
342,5024,δέκα,δέκα
343,5054,μαντευομένῳ,μαντεύομαι
344,5062,Πιτθηΐδος,Πιτθηΐς
345,5063,ἔκγονε,ἔκγονος
346,5070,ἐμὸς,ἐμός
347,5077,πτολιέθρῳ,πτολίεθρον
348,5089,ἀσκὸς,ἀσκός
349,5106,ἀναφθεγξαμένην,ἀναφθέγγομαι
350,5108,ἀσκὸς,ἀσκός
351,5124,βουλόμενος,βούλομαι
352,5136,λεῴ,λαός
353,5142,τινὰ,τις
354,5143,καθιστάντος,καθίστημι
355,5154,ἀκρίτου,ἄκριτος
356,5165,γεωμόρους,γημόρος
357,5167,δημιουργούς,δημιουργός
358,5169,εὐπατρίδαις,εὐπατρίδης
359,5180,διδασκάλους,διδάσκαλος
360,5186,ἐξηγητάς,ἐξηγητής
361,5198,εὐπατριδῶν,εὐπατρίδης
362,5264,παρακαλῶν,παρακαλέω
363,5266,ἀπʼ,ἀπό
364,5267,ἐκείνου,ἐκεῖνος
365,5277,προσκτησάμενος,προσκτάομαι
366,5280,Ἀττικῇ,Ἀττικός
367,5282,Μεγαρικὴν,Μεγαρικός
368,5294,διορίζον,διορίζω
369,5298,δυσὶ,δύο
370,5299,τριμέτροις,τρίμετρος
371,5306,ἕω,ἠώς
372,5308,οὐχὶ,οὐ
373,5309,Πελοπόννησος,Πελοπόννησος
374,5318,τάδʼ,ὅδε
375,5320,Πελοπόννησος,Πελοπόννησος
376,5335,διʼ,διά
377,5339,Δΐ,
378,5342,διʼ,διά
379,5365,θέας,θέα
380,5381,ἀφοσιουμένου,ἀφοσιόω
381,5400,Σίνιν,Σίνις
382,5415,διʼ,διά
383,5424,Κορινθίους,Κορίνθιος
384,5427,ἀφικνουμένοις,ἀφικνέομαι
